method,attack_type,attack_strength,prompt_id,z_score,remaining_tokens
kgw_d2.5,deletion,0.0,0,5.287911944479163,79
kgw_d2.5,deletion,0.1,0,5.421150711319388,72
kgw_d2.5,deletion,0.2,0,4.249998937500266,64
kgw_d2.5,deletion,0.3,0,1.236244735915653,53
kgw_d2.5,deletion,0.4,0,0.0,40
kgw_d2.5,deletion,0.5,0,0.0,40
kgw_d2.5,synonym,0.0,0,5.366561945999763,80
kgw_d2.5,synonym,0.1,0,4.472134954999802,80
kgw_d2.5,synonym,0.2,0,3.577707963999842,80
kgw_d2.5,synonym,0.3,0,3.801314711749832,80
kgw_d2.5,deletion,0.0,1,5.737947003583772,79
kgw_d2.5,deletion,0.1,1,4.7140440967994675,72
kgw_d2.5,deletion,0.2,1,3.99999900000025,64
kgw_d2.5,deletion,0.3,1,2.884571050469857,53
kgw_d2.5,deletion,0.4,1,0.632455332033739,40
kgw_d2.5,deletion,0.5,1,0.632455332033739,40
kgw_d2.5,synonym,0.0,1,5.590168693749753,80
kgw_d2.5,synonym,0.1,1,5.590168693749753,80
kgw_d2.5,synonym,0.2,1,3.354101216249852,80
kgw_d2.5,synonym,0.3,1,2.6832809729998814,80
kgw_d2.5,deletion,0.0,2,6.638017121792991,79
kgw_d2.5,deletion,0.1,2,6.363959530679281,72
kgw_d2.5,deletion,0.2,2,5.499998625000344,64
kgw_d2.5,deletion,0.3,2,3.4340131553212583,53
kgw_d2.5,deletion,0.4,2,1.5811383300843476,40
kgw_d2.5,deletion,0.5,2,1.5811383300843476,40
kgw_d2.5,synonym,0.0,2,6.708202432499704,80
kgw_d2.5,synonym,0.1,2,6.708202432499704,80
kgw_d2.5,synonym,0.2,2,3.801314711749832,80
kgw_d2.5,synonym,0.3,2,4.024921459499822,80
kgw_d2.5,deletion,0.0,3,7.0880521808976,79
kgw_d2.5,deletion,0.1,3,5.892555120999335,72
kgw_d2.5,deletion,0.2,3,4.499998875000281,64
kgw_d2.5,deletion,0.3,3,3.1592921028955576,53
kgw_d2.5,deletion,0.4,3,-0.9486829980506085,40
kgw_d2.5,deletion,0.5,3,-0.9486829980506085,40
