method,family,threshold,accuracy,precision,recall,f1,false_positive_rate,auc
kgw_d1.0,kgw,0.5,0.83,0.75,0.99,0.853448275862069,0.33,0.9743999999999999
kgw_d1.0,kgw,1.0,0.89,0.8421052631578947,0.96,0.897196261682243,0.18,0.9743999999999999
kgw_d1.0,kgw,1.5,0.905,0.9090909090909091,0.9,0.9045226130653267,0.09,0.9743999999999999
kgw_d1.0,kgw,2.0,0.91,0.9880952380952381,0.83,0.9021739130434783,0.01,0.9743999999999999
kgw_d1.0,kgw,2.5,0.79,1.0,0.58,0.7341772151898734,0.0,0.9743999999999999
kgw_d1.0,kgw,3.0,0.705,1.0,0.41,0.5815602836879432,0.0,0.9743999999999999
kgw_d1.0,kgw,3.5,0.63,1.0,0.26,0.4126984126984127,0.0,0.9743999999999999
kgw_d1.0,kgw,4.0,0.585,1.0,0.17,0.2905982905982906,0.0,0.9743999999999999
kgw_d1.0,kgw,4.5,0.535,1.0,0.07,0.1308411214953271,0.0,0.9743999999999999
kgw_d1.0,kgw,5.0,0.515,1.0,0.03,0.05825242718446602,0.0,0.9743999999999999
kgw_d1.5,kgw,0.5,0.835,0.7518796992481203,1.0,0.8583690987124464,0.33,0.999
kgw_d1.5,kgw,1.0,0.91,0.847457627118644,1.0,0.9174311926605505,0.18,0.999
kgw_d1.5,kgw,1.5,0.955,0.9174311926605505,1.0,0.9569377990430622,0.09,0.999
kgw_d1.5,kgw,2.0,0.985,0.98989898989899,0.98,0.9849246231155779,0.01,0.999
kgw_d1.5,kgw,2.5,0.96,1.0,0.92,0.9583333333333334,0.0,0.999
kgw_d1.5,kgw,3.0,0.935,1.0,0.87,0.93048128342246,0.0,0.999
kgw_d1.5,kgw,3.5,0.88,1.0,0.76,0.8636363636363636,0.0,0.999
kgw_d1.5,kgw,4.0,0.765,1.0,0.53,0.6928104575163399,0.0,0.999
kgw_d1.5,kgw,4.5,0.655,1.0,0.31,0.4732824427480916,0.0,0.999
kgw_d1.5,kgw,5.0,0.575,1.0,0.15,0.2608695652173913,0.0,0.999
kgw_d2.0,kgw,0.5,0.835,0.7518796992481203,1.0,0.8583690987124464,0.33,1.0
kgw_d2.0,kgw,1.0,0.91,0.847457627118644,1.0,0.9174311926605505,0.18,1.0
