method,fpr,tpr,roc_threshold,auc
kgw_d1.0,0.0,0.0,inf,0.9743999999999999
kgw_d1.0,0.0,0.01,6.4845956847497135,0.9743999999999999
kgw_d1.0,0.0,0.07,4.6957417027497925,0.9743999999999999
kgw_d1.0,0.0,0.11,4.472134954999802,0.9743999999999999
kgw_d1.0,0.0,0.13,4.248528207249812,0.9743999999999999
kgw_d1.0,0.0,0.17,4.024921459499822,0.9743999999999999
kgw_d1.0,0.0,0.23,3.801314711749832,0.9743999999999999
kgw_d1.0,0.0,0.26,3.577707963999842,0.9743999999999999
kgw_d1.0,0.0,0.33,3.354101216249852,0.9743999999999999
kgw_d1.0,0.0,0.41,3.1304944684998617,0.9743999999999999
kgw_d1.0,0.0,0.52,2.906887720749872,0.9743999999999999
kgw_d1.0,0.0,0.58,2.683280972999881,0.9743999999999999
kgw_d1.0,0.0,0.67,2.4596742252498918,0.9743999999999999
kgw_d1.0,0.01,0.67,2.2548846153571804,0.9743999999999999
kgw_d1.0,0.01,0.76,2.236067477499901,0.9743999999999999
kgw_d1.0,0.01,0.83,2.012460729749911,0.9743999999999999
kgw_d1.0,0.03,0.83,1.9629904619114986,0.9743999999999999
kgw_d1.0,0.03,0.87,1.788853981999921,0.9743999999999999
kgw_d1.0,0.05,0.87,1.7218916080443267,0.9743999999999999
kgw_d1.0,0.05,0.9,1.5652472342499308,0.9743999999999999
kgw_d1.0,0.07,0.9,1.5215345573853973,0.9743999999999999
kgw_d1.0,0.09,0.9,1.5011103532264403,0.9743999999999999
kgw_d1.0,0.12,0.9,1.3438635595612287,0.9743999999999999
kgw_d1.0,0.12,0.94,1.3416404864999407,0.9743999999999999
kgw_d1.0,0.17,0.94,1.1659974208160373,0.9743999999999999
kgw_d1.0,0.18,0.96,1.1180337387499506,0.9743999999999999
kgw_d1.0,0.2,0.96,0.9058214221875178,0.9743999999999999
kgw_d1.0,0.2,0.97,0.8944269909999605,0.9743999999999999
kgw_d1.0,0.24,0.97,0.8017835114516161,0.9743999999999999
kgw_d1.0,0.26,0.97,0.7777776049383099,0.9743999999999999
kgw_d1.0,0.26,0.99,0.6708202432499704,0.9743999999999999
kgw_d1.0,0.28,0.99,0.6625890101076481,0.9743999999999999
kgw_d1.0,0.35,0.99,0.46499044686719415,0.9743999999999999
kgw_d1.0,0.39,0.99,0.43133099979051787,0.9743999999999999
kgw_d1.0,0.46,0.99,0.24618292135261977,0.9743999999999999
kgw_d1.0,0.48,0.99,0.22360674774999012,0.9743999999999999
kgw_d1.0,0.51,0.99,0.20628420669857594,0.9743999999999999
kgw_d1.0,0.53,0.99,0.10721123049527866,0.9743999999999999
kgw_d1.0,0.58,0.99,-0.13483993612902184,0.9743999999999999
kgw_d1.0,0.58,1.0,-0.2236067477499901,0.9743999999999999
kgw_d1.0,0.59,1.0,-0.22941568123899486,0.9743999999999999
kgw_d1.0,0.61,1.0,-0.2357022048399734,0.9743999999999999
kgw_d1.0,0.76,1.0,-0.6741996806451093,0.9743999999999999
kgw_d1.0,0.8,1.0,-0.8728713704678206,0.9743999999999999
kgw_d1.0,0.84,1.0,-1.1043150168460802,0.9743999999999999
kgw_d1.0,0.86,1.0,-1.1180337387499506,0.9743999999999999
kgw_d1.0,0.91,1.0,-1.4320776479078037,0.9743999999999999
kgw_d1.0,0.93,1.0,-1.4444441234568615,0.9743999999999999
kgw_d1.0,1.0,1.0,-3.2627541785084193,0.9743999999999999
kgw_d1.5,0.0,0.0,inf,0.999
kgw_d1.5,0.0,0.01,6.260988936999723,0.999
kgw_d1.5,0.0,0.04,6.037382189249733,0.999
kgw_d1.5,0.0,0.05,5.813775441499743,0.999
kgw_d1.5,0.0,0.09,5.590168693749753,0.999
kgw_d1.5,0.0,0.15,5.142955198249773,0.999
kgw_d1.5,0.0,0.2,4.919348450499783,0.999
kgw_d1.5,0.0,0.31,4.6957417027497925,0.999
kgw_d1.5,0.0,0.35,4.472134954999802,0.999
kgw_d1.5,0.0,0.53,4.024921459499822,0.999
kgw_d1.5,0.0,0.67,3.801314711749832,0.999
kgw_d1.5,0.0,0.76,3.577707963999842,0.999
kgw_d1.5,0.0,0.82,3.354101216249852,0.999
kgw_d1.5,0.0,0.87,3.1304944684998617,0.999
kgw_d1.5,0.0,0.88,2.906887720749872,0.999
kgw_d1.5,0.0,0.92,2.683280972999881,0.999
kgw_d1.5,0.0,0.94,2.4596742252498918,0.999
kgw_d1.5,0.01,0.94,2.2548846153571804,0.999
