method,seconds_total,seconds_per_prompt
baseline,176.0654995497316,1.760654995497316
kgw_d1.0,180.5831089867279,1.805831089867279
kgw_d1.5,173.628752511926,1.73628752511926
kgw_d2.0,173.71093856636435,1.7371093856636435
kgw_d2.5,162.82621511165053,1.6282621511165052
kgw_d3.0,162.33643229771405,1.6233643229771406
unb_a1.5,178.85907325614244,1.7885907325614243
unb_a2.0,174.81712659355253,1.7481712659355253
unb_a2.5,170.0589908277616,1.700589908277616
unb_a3.0,174.96778874471784,1.7496778874471783
unb_a3.5,174.87386403698474,1.7487386403698475
