metric,original,watermarked,absolute_change,relative_change
mean,16.599227453439667,16.654519053508988,0.05529160006932088,0.003330974301128241
std,3.6841522925466896,3.686709786560299,0.002557494013609496,0.0006941879189113073
min,8.760677969532315,8.90888522033774,0.14820725080542552,0.016917326638867445
max,25.09409869468974,25.129479734151303,0.035381039461562125,0.001409934657969577
q05,10.972702858396367,11.02589720205387,0.053194343657501975,0.004847879719257094
q25,13.498874539874084,13.551214898930567,0.052340359056483265,0.0038773868812543317
q50,16.488898342861113,16.546836712878637,0.05793837001752422,0.0035137805333789883
q75,19.67669744132878,19.726666917232926,0.049969475904145355,0.0025395255504945835
q95,22.45087389343855,22.52267659874833,0.0718027053097785,0.003198214272076296
skewness,0.07299115292672366,0.07227632784060997,0.0007148250861136879,0.009793311211812131
kurtosis,-1.0563686220762574,-1.0557350843716387,0.0006335377046187141,0.0005997316569038042
pearson_corr,1.0,0.999571347381166,0.0004286526188339579,0.0004286526188339579
spearman_corr,1.0,0.999592070947635,0.0004079290523649748,0.0004079290523649748
ks_pvalue,1.0,0.9874212221440768,0.007500000000000062,0.0
